"statepuma","stab","pumaname","dem12","rep12","dem16","rep16","propR12","propR16","changeinR","changeinpropR"
"5104103","VA","Chesterfield County (West)--Brandermill & Woodlake",77694,90934,81074,85045,0.539258011718101,0.511952275176229,-5889,-0.0273057365418723
"5110701","VA","Loudoun County (Northeast)--Sterling & Ashburn (Northeast/Ashburn Village)",82479,75292,100795,69949,0.477223317339689,0.409671789345453,-5343,-0.0675515279942357
"5110702","VA","Loudoun County (East Central)--Ashburn (Southwest/Belmont Ridge) & Dulles Airport",82479,75292,100795,69949,0.477223317339689,0.409671789345453,-5343,-0.0675515279942357
"5110703","VA","Loudoun County (West & South)--Leesburg Town",82479,75292,100795,69949,0.477223317339689,0.409671789345453,-5343,-0.0675515279942357
"5151154","VA","Norfolk City (Northeast)",62687,23147,57023,21552,0.269671691870354,0.274285714285714,-1595,0.00461402241535991
"5151164","VA","Virginia Beach City (North)",94299,99291,91032,98224,0.512893227955989,0.519000718603373,-1067,0.0061074906473837
"5151165","VA","Virginia Beach City (Central)",94299,99291,91032,98224,0.512893227955989,0.519000718603373,-1067,0.0061074906473837
"5151167","VA","Virginia Beach City (South)",94299,99291,91032,98224,0.512893227955989,0.519000718603373,-1067,0.0061074906473837
"5151175","VA","Newport News City",51100,27230,45618,25468,0.34763181411975,0.358270264187041,-1762,0.0106384500672913
"5151186","VA","Hampton City",46966,18640,41312,17902,0.284120354845593,0.302327152362617,-738,0.0182067975170235
"5151224","VA","Henrico County (South & East)--Highland Springs, East Highland Park & Glen Allen",89594,70449,93935,59857,0.440187949488575,0.389207501040366,-10592,-0.0509804484482087
"5151225","VA","Henrico County (West)--Tuckahoe, Short Pump & Wyndham",89594,70449,93935,59857,0.440187949488575,0.389207501040366,-10592,-0.0509804484482087
"5151235","VA","Richmond City",75921,20050,81259,15581,0.208917277094122,0.160894258570838,-4469,-0.0480230185232837
"5151244","VA","Prince William County (North & West)--Linton Hall & Gainesville",103331,74458,113144,71721,0.418799813261788,0.387964190084656,-2737,-0.0308356231771315
"5151246","VA","Prince William County (Southeast)--Dale City, Lake Ridge & Woodbridge",103331,74458,113144,71721,0.418799813261788,0.387964190084656,-2737,-0.0308356231771315
"5151255","VA","Alexandria City",52199,20249,57242,13285,0.279497018551237,0.188367575538446,-6964,-0.0911294430127905
"5155001","VA","Chesapeake City (Northeast)",55052,53900,52627,54047,0.494713268228211,0.506655792414271,147,0.0119425241860609
"5155002","VA","Chesapeake City (South & West)",55052,53900,52627,54047,0.494713268228211,0.506655792414271,147,0.0119425241860609
"5159301","VA","Fairfax County (East Central)--Annandale, West Falls Church & Baileys Crossroads",315273,206773,355133,157710,0.396081954463783,0.307521015203483,-49063,-0.0885609392602995
"5159302","VA","Fairfax County (Southeast)--Woodlawn, Rose Hill & Mount Vernon",315273,206773,355133,157710,0.396081954463783,0.307521015203483,-49063,-0.0885609392602995
"5159304","VA","Fairfax County (Southwest)--Centreville (Southeast) & Lorton",315273,206773,355133,157710,0.396081954463783,0.307521015203483,-49063,-0.0885609392602995
"5159305","VA","Fairfax County (North Central)--Vienna Town, Oakton & Fair Oaks (East)",315273,206773,355133,157710,0.396081954463783,0.307521015203483,-49063,-0.0885609392602995
"5159306","VA","Fairfax County (South Central)--Springfield (South), West Springfield & Franconia",315273,206773,355133,157710,0.396081954463783,0.307521015203483,-49063,-0.0885609392602995
"5159307","VA","Fairfax County (Northwest)--Reston (North) & Franklin Farm",315273,206773,355133,157710,0.396081954463783,0.307521015203483,-49063,-0.0885609392602995
"5159309","VA","Fairfax County (West Central)--Centreville (North & West) & Chantilly (South & West)",315273,206773,355133,157710,0.396081954463783,0.307521015203483,-49063,-0.0885609392602995
"5310100","WA","Whatcom County--Bellingham City",57089,42703,60340,40599,0.427920073753407,0.402213217884069,-2104,-0.0257068558693385
"5310501","WA","Spokane County (North Central)--Spokane City (North)",102295,115285,93767,113435,0.529851089254527,0.547460931844287,-1850,0.0176098425897602
"5310502","WA","Spokane County (South Central)--Spokane City (South)",102295,115285,93767,113435,0.529851089254527,0.547460931844287,-1850,0.0176098425897602
"5310503","WA","Spokane County (East Central)--Greater Spokane Valley City",102295,115285,93767,113435,0.529851089254527,0.547460931844287,-1850,0.0176098425897602
"5310504","WA","Spokane County (Outer)--Cheney City",102295,115285,93767,113435,0.529851089254527,0.547460931844287,-1850,0.0176098425897602
"5310702","WA","Benton County (East Central)--Kennewick & Richland (South) Cities",28145,49461,26360,47194,0.637334742159111,0.641623840987574,-2267,0.00428909882846229
"5310901","WA","Yakima County (Central)--Greater Yakima City",33217,42239,31291,41735,0.55978318490246,0.571508777695615,-504,0.0117255927931555
"5310902","WA","Yakima County (Outer)--Sunnyside & Grandview Cities",33217,42239,31291,41735,0.55978318490246,0.571508777695615,-504,0.0117255927931555
"5311101","WA","Clark County (Southwest)--Vancouver City (West & Central)",93382,92951,92757,92441,0.498843468414076,0.499146859037355,-510,0.000303390623278721
"5311102","WA","Clark County (West Central)--Salmon Creek & Hazel Dell",93382,92951,92757,92441,0.498843468414076,0.499146859037355,-510,0.000303390623278721
"5311103","WA","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities",93382,92951,92757,92441,0.498843468414076,0.499146859037355,-510,0.000303390623278721
"5311104","WA","Clark County (North)--Battle Ground City & Orchards",93382,92951,92757,92441,0.498843468414076,0.499146859037355,-510,0.000303390623278721
"5311401","WA","Thurston County (Central)--Olympia, Lacey & Tumwater Cities",74037,49287,68798,48624,0.399654568453829,0.414096165965492,-663,0.014441597511663
"5311402","WA","Thurston County (Outer)",74037,49287,68798,48624,0.399654568453829,0.414096165965492,-663,0.014441597511663
"5311501","WA","Pierce County (Central)--Tacoma City (Central)",186430,148467,172538,146824,0.443321379409191,0.459741609834608,-1643,0.0164202304254163
"5311502","WA","Pierce County (Northwest)--Peninsula Region & Tacoma City (West)",186430,148467,172538,146824,0.443321379409191,0.459741609834608,-1643,0.0164202304254163
"5311503","WA","Pierce County (West Central)--Lakewood City & Joint Base Lewis-McChord",186430,148467,172538,146824,0.443321379409191,0.459741609834608,-1643,0.0164202304254163
"5311504","WA","Pierce County (South Central)--Tacoma City (South), Parkland & Spanaway",186430,148467,172538,146824,0.443321379409191,0.459741609834608,-1643,0.0164202304254163
